"citations","year","venue","title","authors","doi"
534,2023,"Reviews of Modern Physics","Quantum error mitigation","Zhenyu Cai; Ryan Babbush; Simon C. Benjamin; Suguru Endo; William J. Huggins; Ying Li; Jarrod R. McClean; Thomas E. O’Brien","https://doi.org/10.1103/revmodphys.95.045005"
501,2021,"Journal of the Physical Society of Japan","Hybrid Quantum-Classical Algorithms and Quantum Error Mitigation","Suguru Endo; Zhenyu Cai; Simon C. Benjamin; Xiao Yuan","https://doi.org/10.7566/jpsj.90.032001"
450,2021,"Physical Review X","Theory of Trotter Error with Commutator Scaling","Andrew M. Childs; Yuan Su; Minh C. Tran; Nathan Wiebe; Shuchen Zhu","https://doi.org/10.1103/physrevx.11.011020"
323,2022,"Journal of Applied Physics","The future of quantum computing with superconducting qubits","Sergey Bravyi; Oliver Dial; Jay Gambetta; Darı́o Gil; Zaira Nazario","https://doi.org/10.1063/5.0082975"
175,2024,"PRX Quantum","Quantum Computing for High-Energy Physics: State of the Art and Challenges","Alberto Di Meglio; Karl Jansen; Ivano Tavernelli; Constantia Alexandrou; Srinivasan Arunachalam; C. Bauer; K. Borras; Stefano Carrazza; Arianna Crippa; V. Croft; Roland de Putter; Andrea Delgado; Vedran Dunjko; Daniel J. Egger; Elías F. Combarro; Elina Fuchs; Lena Funcke; Daniel González-Cuadra; Michele Grossi; Jad C. Halimeh; Zoë Holmes; Stefan Kühn; Denis Lacroix; Randy Lewis; D. Lucchesi; Miriam Lucio Martínez; F. Meloni; Antonio Mezzacapo; Simone Montangero; Lento Nagano; V. R. Pascuzzi; V. Radescu; E. Rico; Alessandro Roggero; Julian Schuhmacher; Joao Seixas; Pietro Silvi; Panagiotis Spentzouris; Francesco Tacchino; Kristan Temme; K. Terashi; Jordi Tura; Cenk Tüysüz; S. Vallecorsa; U.‐J. Wiese; Shinjae Yoo; Jinglei Zhang","https://doi.org/10.1103/prxquantum.5.037001"
170,2022,"Reports on Progress in Physics","Standard model physics and the digital quantum revolution: thoughts about the interface","Natalie Klco; Alessandro Roggero; Martin J. Savage","https://doi.org/10.1088/1361-6633/ac58a4"
167,2021,"Wiley Interdisciplinary Reviews Computational Molecular Science","Emerging quantum computing algorithms for quantum chemistry","Mário Motta; Julia E. Rice","https://doi.org/10.1002/wcms.1580"
94,2021,"Physical Review Letters","Rodeo Algorithm for Quantum Computing","Kenneth Choi; Dean Lee; Joey Bonitati; Zhengrong Qian; J. Watkins","https://doi.org/10.1103/physrevlett.127.040505"
83,2022,"Nature Computational Science","Quantum algorithms for quantum dynamics","Alexander Miessen; Pauline J. Ollitrault; Francesco Tacchino; Ivano Tavernelli","https://doi.org/10.1038/s43588-022-00374-2"
81,2021,"Quantum Science and Technology","Simulating quantum materials with digital quantum computers","Lindsay Bassman Oftelie; Miroslav Urbánek; Mekena Metcalf; Jonathan Carter; A. F. Kemper; Wibe A. de Jong","https://doi.org/10.1088/2058-9565/ac1ca6"
80,2021,"PRX Quantum","Faster Digital Quantum Simulation by Symmetry Protection","Minh C. Tran; Yuan Su; Daniel Carney; Jacob M. Taylor","https://doi.org/10.1103/prxquantum.2.010323"
60,2022,"Quantum","Robust quantum compilation and circuit optimisation via energy minimisation","Tyson Jones; Simon C. Benjamin","https://doi.org/10.22331/q-2022-01-24-628"
59,2021,"Quantum","Time-dependent unbounded Hamiltonian simulation with vector norm scaling","Dong An; Di Fang; Lin Lin","https://doi.org/10.22331/q-2021-05-26-459"
56,2021,"Quantum","Nearly tight Trotterization of interacting electrons","Yuan Su; Hsin-Yuan Huang; Earl T. Campbell","https://doi.org/10.22331/q-2021-07-05-495"
56,2023,"Quantum","Time-marching based quantum solvers for time-dependent linear differential equations","Di Fang; Lin Lin; Yu Tong","https://doi.org/10.22331/q-2023-03-20-955"
52,2021,"Physical review. A/Physical review, A","Simulating quantum chemistry in the seniority-zero space on qubit-based quantum computers","Vincent E. Elfving; Marta Millaruelo; José A. Gámez; Christian Gogolin","https://doi.org/10.1103/physreva.103.032605"
